任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 7: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=0, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 15: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=1, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 23: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=2, rotation=7
任务 31: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=3, rotation=7
任务 31: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=3, rotation=7
任务 31: model_path=/mnt/hdd/zhengquan/Shapenet/ShapeNetCore.v2/02691156/1a9b552befd6306cc8f2d5fe7449af61, viewpoint=3, rotation=7
